Label,date_mort,date_naissance,taille_article,net_genre,Id
Turold,2025,,72468,[None],6
Philippe de Thaon,2025,,67944,[None],10
Benoît de Sainte-Maure,2025,,82324,[[94]],14
Jean Bodel,1165,,72283,"[[129, 164, 69]]",16
Wace,1174,1100,98720,"[[56, 128]]",17
Eudes de Deuil,1162,1110,66891,[[191]],18
Chrétien de Troyes,1180,1130,206029,"[[95, 191, 129]]",19
Conon de Béthune,1219,1150,81744,[[191]],20
Alexandre de Bernay,2025,1158,66306,[None],21
Gace Brulé,1213,1160,68040,[None],22
Hélinand de Froidmont,1229,1160,87149,[None],23
Geoffroi de Villehardouin,1213,1160,132707,[[191]],24
Béroul,2025,1170,75537,[None],25
Thomas d'Angleterre,2025,1170,71691,[[94]],26
Marie de France,2025,1175,172389,"[[127, 63, 57, 163, 89]]",27
Gautier de Coinci,1236,1178,82518,[[150]],28
Henri d'Andeli,1240,1200,59142,[None],37
Guillaume de Lorris,1238,1200,77646,[None],38
Thibaut de Champagne,1253,1201,280252,[None],39
Philippe de Remy,1265,1210,68255,[[58]],40
Adam de la Halle,1288,1220,109409,"[[129, 69, 66, 76, 77]]",41
Jean de Joinville,1317,1224,155058,"[[125, 89]]",42
Rutebeuf,1285,1230,98880,[[164]],43
Adenet le Roi,1300,1240,75911,[None],44
Jean de Meung,1304,1240,68985,[[164]],45
Jean Le Marchant,1260,1250,54400,[None],46
Marguerite Porete,1310,1250,100448,[[125]],47
Gilles Le Muisit,1352,1272,71635,[None],48
Pierre Bersuire,1362,1290,102165,[[171]],49
Jean le Bel,1370,1290,77211,[None],50
Watriquet de Couvin,1300,,99543,[None],58
Guillaume de Machaut,1377,1300,135874,"[[66, 63, 50, 76, 77, 53, 85, 94, 248]]",59
Jean de Venette,1368,1307,60329,[None],60
Nicole Oresme,1382,1325,137420,[None],61
Gaston III de Foix-Béarn,1391,1331,560824,"[[66, 69, 119, 199, 183]]",62
Jean Froissart,1404,1333,140806,[[95]],63
Jean de Courcy,2025,1340,50941,[None],64
Eustache Deschamps,1407,1346,106287,"[[49, 76, 77, 85]]",65
Eustache Marcadé,2025,1440,58104,[[151]],66
Jean de Gerson,1429,1363,139740,[None],67
Christine de Pizan,1430,1364,210023,[[50]],68
Alain Chartier,1435,1385,117266,"[[50, 76, 77]]",69
Antoine de La Sale,1469,1388,66462,[None],70
Jean Juvénal des Ursins,1473,1388,87752,[None],71
Enguerrand de Monstrelet,1453,1390,66610,[None],72
Jehan Régnier,1468,1392,56578,[[220]],73
Charles d'Orléans,1465,1394,283591,"[[50, 76, 77, 52]]",74
Michault Taillevent,1395,1390,73373,[[50]],75
Georges Chastelain,1405,,86512,"[[191, 167, 259]]",81
Jean de Bueil,1477,1406,174752,"[[122, 126]]",82
Martin Le Franc,1461,1410,76933,[None],83
Arnoul Gréban,1470,1420,87081,"[[151, 54]]",84
Olivier de La Marche,1502,1425,79839,[None],85
